$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run --data-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_data --expect-device cuda --no-preflight
device=cuda  params=4,176,422  head=fmpe  run_dir=/dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run
step   5200/60000 | total 0.7288 | post 0.7079 | det 0.0210 | 5650 lc/s | wait 5% | eta 41m23s
step   5300/60000 | total 0.9025 | post 0.8280 | det 0.0745 | 5840 lc/s | wait 5% | eta 39m57s
step   5400/60000 | total 0.7762 | post 0.7403 | det 0.0359 | 5777 lc/s | wait 5% | eta 40m19s
step   5500/60000 | total 0.9033 | post 0.8615 | det 0.0418 | 5675 lc/s | wait 5% | eta 40m58s
step   5600/60000 | total 0.7597 | post 0.7022 | det 0.0575 | 5776 lc/s | wait 5% | eta 40m10s
step   5700/60000 | total 0.8183 | post 0.7745 | det 0.0438 | 5742 lc/s | wait 5% | eta 40m20s
step   5800/60000 | total 0.7515 | post 0.7118 | det 0.0397 | 5634 lc/s | wait 5% | eta 41m02s
step   5900/60000 | total 0.7759 | post 0.7385 | det 0.0374 | 5557 lc/s | wait 5% | eta 41m32s
  [val] post 0.8101 det 0.0846 acc 0.967 auc 0.995
step   6000/60000 | total 0.8525 | post 0.8111 | det 0.0414 | 298 lc/s | wait 0% | eta 12h53m41s
step   6100/60000 | total 0.8469 | post 0.8171 | det 0.0298 | 5565 lc/s | wait 5% | eta 41m19s
step   6200/60000 | total 0.7580 | post 0.7035 | det 0.0544 | 5691 lc/s | wait 5% | eta 40m20s
step   6300/60000 | total 0.8340 | post 0.7870 | det 0.0471 | 5465 lc/s | wait 5% | eta 41m55s
step   6400/60000 | total 0.8891 | post 0.8238 | det 0.0653 | 5542 lc/s | wait 5% | eta 41m16s
step   6500/60000 | total 0.7462 | post 0.7177 | det 0.0285 | 5609 lc/s | wait 5% | eta 40m41s
step   6600/60000 | total 0.8976 | post 0.8594 | det 0.0383 | 5692 lc/s | wait 5% | eta 40m01s
step   6700/60000 | total 0.7751 | post 0.7463 | det 0.0289 | 5652 lc/s | wait 5% | eta 40m14s
step   6800/60000 | total 0.7253 | post 0.6830 | det 0.0424 | 5669 lc/s | wait 5% | eta 40m02s
step   6900/60000 | total 0.7922 | post 0.7567 | det 0.0356 | 5632 lc/s | wait 5% | eta 40m13s
step   7000/60000 | total 0.7938 | post 0.7678 | det 0.0260 | 5613 lc/s | wait 5% | eta 40m17s
step   7100/60000 | total 0.6936 | post 0.6500 | det 0.0436 | 5830 lc/s | wait 5% | eta 38m42s
step   7200/60000 | total 0.6838 | post 0.6175 | det 0.0663 | 5764 lc/s | wait 5% | eta 39m05s
step   7300/60000 | total 0.7717 | post 0.7544 | det 0.0173 | 6133 lc/s | wait 6% | eta 36m39s
step   7400/60000 | total 0.7990 | post 0.7129 | det 0.0861 | 5870 lc/s | wait 5% | eta 38m13s
step   7500/60000 | total 0.7726 | post 0.7266 | det 0.0460 | 6166 lc/s | wait 6% | eta 36m19s
step   7600/60000 | total 0.7547 | post 0.7339 | det 0.0208 | 5829 lc/s | wait 5% | eta 38m21s
step   7700/60000 | total 0.7571 | post 0.7322 | det 0.0250 | 5752 lc/s | wait 6% | eta 38m47s
step   7800/60000 | total 0.8803 | post 0.8138 | det 0.0664 | 5651 lc/s | wait 5% | eta 39m24s
step   7900/60000 | total 0.7303 | post 0.6966 | det 0.0337 | 5699 lc/s | wait 5% | eta 39m00s
  [val] post 0.7782 det 0.0960 acc 0.966 auc 0.994
step   8000/60000 | total 0.6548 | post 0.6383 | det 0.0164 | 295 lc/s | wait 0% | eta 12h31m12s
step   8100/60000 | total 0.7763 | post 0.7317 | det 0.0446 | 6408 lc/s | wait 6% | eta 34m33s
step   8200/60000 | total 0.7615 | post 0.7305 | det 0.0309 | 6265 lc/s | wait 6% | eta 35m16s
step   8300/60000 | total 0.7632 | post 0.6578 | det 0.1054 | 5741 lc/s | wait 5% | eta 38m25s
step   8400/60000 | total 0.7415 | post 0.6781 | det 0.0634 | 5744 lc/s | wait 5% | eta 38m19s
step   8500/60000 | total 0.7777 | post 0.7352 | det 0.0425 | 5449 lc/s | wait 5% | eta 40m19s
step   8600/60000 | total 0.7586 | post 0.7269 | det 0.0317 | 5555 lc/s | wait 5% | eta 39m28s
step   8700/60000 | total 0.8461 | post 0.8057 | det 0.0404 | 5653 lc/s | wait 5% | eta 38m43s
step   8800/60000 | total 0.7966 | post 0.7349 | det 0.0617 | 5601 lc/s | wait 5% | eta 39m00s
step   8900/60000 | total 0.7866 | post 0.7696 | det 0.0170 | 5661 lc/s | wait 5% | eta 38m30s
step   9000/60000 | total 0.7585 | post 0.6980 | det 0.0604 | 5556 lc/s | wait 5% | eta 39m09s
step   9100/60000 | total 0.7842 | post 0.7412 | det 0.0430 | 5459 lc/s | wait 5% | eta 39m46s
step   9200/60000 | total 0.6445 | post 0.6300 | det 0.0145 | 5534 lc/s | wait 5% | eta 39m09s
step   9300/60000 | total 0.8033 | post 0.7343 | det 0.0691 | 5640 lc/s | wait 5% | eta 38m21s
step   9400/60000 | total 0.6711 | post 0.6298 | det 0.0413 | 5532 lc/s | wait 5% | eta 39m01s
step   9500/60000 | total 0.7189 | post 0.6713 | det 0.0476 | 5516 lc/s | wait 5% | eta 39m03s
step   9600/60000 | total 0.7777 | post 0.7394 | det 0.0382 | 5561 lc/s | wait 5% | eta 38m40s
step   9700/60000 | total 0.7930 | post 0.7672 | det 0.0258 | 5844 lc/s | wait 5% | eta 36m43s
step   9800/60000 | total 0.7815 | post 0.7544 | det 0.0271 | 5536 lc/s | wait 5% | eta 38m41s
