
== attempt 1784488607.786140 ==
$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run --data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/data --validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/posterior_validation --detection-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_train --detection-validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_validation --expect-device cuda --no-preflight --seed 0 --noise-lib /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/noise_splits/noise_validation.npz
device=cuda  params=4,176,422  head=fmpe  run_dir=/workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run
step   4700/60000 | total 1.2814 | post 0.9702 | det 0.3112 | 2182 lc/s | wait 5% | eta 1h48m08s
step   4800/60000 | total 1.2873 | post 1.0107 | det 0.2765 | 2160 lc/s | wait 5% | eta 1h49m02s
step   4900/60000 | total 1.2285 | post 0.9481 | det 0.2804 | 2163 lc/s | wait 5% | eta 1h48m40s
step   5000/60000 | total 1.1741 | post 0.9705 | det 0.2036 | 2153 lc/s | wait 5% | eta 1h48m58s
step   5100/60000 | total 1.0635 | post 0.8756 | det 0.1879 | 2151 lc/s | wait 5% | eta 1h48m55s
step   5200/60000 | total 1.3152 | post 1.0708 | det 0.2444 | 2144 lc/s | wait 5% | eta 1h49m03s
step   5300/60000 | total 1.2043 | post 0.9591 | det 0.2452 | 2157 lc/s | wait 5% | eta 1h48m13s
step   5400/60000 | total 1.2396 | post 0.9947 | det 0.2450 | 2105 lc/s | wait 5% | eta 1h50m39s
step   5500/60000 | total 1.3192 | post 1.1165 | det 0.2027 | 2111 lc/s | wait 5% | eta 1h50m09s
step   5600/60000 | total 1.1803 | post 0.9479 | det 0.2324 | 2155 lc/s | wait 5% | eta 1h47m41s
step   5700/60000 | total 1.2108 | post 1.0147 | det 0.1961 | 2155 lc/s | wait 5% | eta 1h47m30s
step   5800/60000 | total 1.1853 | post 0.9547 | det 0.2306 | 2144 lc/s | wait 5% | eta 1h47m50s
step   5900/60000 | total 1.2419 | post 1.0454 | det 0.1964 | 2146 lc/s | wait 5% | eta 1h47m34s
  [val] post 0.9932 det 0.3404 acc 0.853 auc 0.945
step   6000/60000 | total 1.2747 | post 1.0595 | det 0.2151 | 1969 lc/s | wait 5% | eta 1h57m01s
step   6100/60000 | total 0.9082 | post 0.7060 | det 0.2022 | 2145 lc/s | wait 5% | eta 1h47m14s
step   6200/60000 | total 1.2798 | post 1.1257 | det 0.1540 | 2134 lc/s | wait 5% | eta 1h47m34s
step   6300/60000 | total 1.3185 | post 1.1343 | det 0.1843 | 2134 lc/s | wait 5% | eta 1h47m20s
step   6400/60000 | total 1.2613 | post 1.0419 | det 0.2194 | 2134 lc/s | wait 5% | eta 1h47m08s
step   6500/60000 | total 1.1843 | post 0.9541 | det 0.2301 | 2133 lc/s | wait 5% | eta 1h46m59s
step   6600/60000 | total 1.2721 | post 0.9996 | det 0.2726 | 2134 lc/s | wait 5% | eta 1h46m45s
step   6700/60000 | total 1.2139 | post 1.0263 | det 0.1876 | 2130 lc/s | wait 5% | eta 1h46m45s
step   6800/60000 | total 1.1626 | post 0.9705 | det 0.1920 | 2134 lc/s | wait 5% | eta 1h46m22s
step   6900/60000 | total 1.3662 | post 1.1352 | det 0.2309 | 2134 lc/s | wait 5% | eta 1h46m09s
step   7000/60000 | total 1.1947 | post 0.9708 | det 0.2240 | 2133 lc/s | wait 5% | eta 1h45m59s
step   7100/60000 | total 1.0757 | post 0.8545 | det 0.2212 | 2134 lc/s | wait 5% | eta 1h45m46s
step   7200/60000 | total 1.0900 | post 0.8456 | det 0.2444 | 2135 lc/s | wait 5% | eta 1h45m32s
